idno,experiment_hash,epoch_seconds,fold,logits_threshold,wake_acc,sleep_acc,max_X,min_X,mean_X,median_X,std_X
1066528,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,0,-2.478965,0.02608695652173913,0.9499348109517601,4.0,-0.11253577929735507,-0.04867149116834129,-0.11208989125812005,0.37492524206265027
1360686,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,1,-3.0508535,0.042165242165242166,0.9499799438427597,4.0,-0.12498565241119158,-0.053038617918204946,-0.12349757393886973,0.45081436594823876
1449548,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,2,-1.7929287,0.1387820512820513,0.95,4.0,-0.1259547020068036,-0.05304723146490403,-0.12423115949070601,0.4729199704491676
1455390,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,3,0.14427735,0.4111111111111111,0.950019135093762,4.0,-0.14300759319110476,-0.05193947715755479,-0.138928717335261,0.48675562010149254
1818471,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,4,-2.6238403,0.6866666666666666,0.9499648382559776,4.0,-0.16869044217884435,-0.04970920689161096,-0.16431183074653483,0.518527165736455
2598705,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,5,-1.6731775,0.15333333333333332,0.9499286224125625,4.0,-0.18850223511888833,-0.04951970113055148,-0.18058927383472162,0.4775068082817168
2638030,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,6,-1.611122,0.12574525745257453,0.950060606060606,4.0,-0.15597419705584512,-0.05214408572873592,-0.1512978171925244,0.5443018330892233
3509524,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,7,0.33084434,0.48427672955974843,0.9500459136822773,4.0,-0.10217895614515254,-0.04677587476418204,-0.10217895614515254,0.34167626999190126
3997827,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,8,-2.3165703,0.4226666666666667,0.9499106823865666,4.0,-0.14891453517499423,-0.051334743470091905,-0.13751083035151473,0.4603966893320313
4018081,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,9,-2.635974,0.07555555555555556,0.9500397772474145,4.0,-0.1400187489109438,-0.0528221875481804,-0.13989922889478867,0.4994537671126159
4314139,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,10,-1.0574608,0.5208333333333334,0.9500583430571762,4.0,-0.1582745444001841,-0.05279386795531154,-0.15214293170866447,0.5035420361634801
4426783,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,11,-1.849726,0.17095238095238094,0.9499449944994499,4.0,-0.14442011179384034,-0.05285663798806945,-0.13526421741239109,0.4739155044894244
46343,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,12,-0.010093848,0.4638888888888889,0.9499644633972992,4.0,-0.14148128080293637,-0.05177891504821004,-0.14146928492513322,0.4859254220240393
5132496,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,13,-3.360682,0.12626262626262627,0.9500386697602475,4.0,-0.11212649013665518,-0.048614538640685184,-0.11197244449251362,0.35665319322333
5383425,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,14,-0.08597188,0.455,0.9500891265597148,4.0,-0.08101669797117451,-0.044752503331928976,-0.08101669797117451,0.29844901400751084
5498603,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,15,-1.2052443,0.34392523364485983,0.9499215070643642,4.0,-0.1799318639233665,-0.05054097081364335,-0.17877409650983037,0.5233124892281712
5797046,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,16,-2.4889815,0.08270042194092828,0.9500194024058983,4.0,-0.1515475964397043,-0.051060063767533984,-0.13883708792251948,0.4454031132508681
6220552,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,17,-3.1273582,0.14807692307692308,0.9500369549150037,4.0,-0.182217310394552,-0.05120941665871441,-0.17331936527816133,0.5822878305208166
759667,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,18,-0.678908,0.38333333333333336,0.9500730994152047,4.0,-0.1027340399801139,-0.047625397330754826,-0.10271241375202317,0.3340638129882708
781756,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,19,-3.041967,0.3112449799196787,0.949981419546637,4.0,-0.20137840523253528,-0.049956237015631844,-0.1915377608042771,0.6023316897665103
8000685,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,20,-1.4894199,0.14747474747474748,0.949963924963925,4.0,-0.14415213534384744,-0.04893819025400187,-0.13912577000226328,0.410737605762308
8173033,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,21,-0.51735854,0.6885057471264368,0.9500359971202303,4.0,-0.1522230273558561,-0.052877012491158844,-0.14691983321109556,0.4854756906662178
8258170,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,22,-0.82466704,0.29894736842105263,0.9500380517503805,4.0,-0.09923815795204244,-0.04598115776518426,-0.09923815795204244,0.3494976549328081
844359,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,23,-2.3145761,0.2863799283154122,0.95,4.0,-0.15423836419141448,-0.052770075020913514,-0.15215856562012386,0.549518796102031
8530312,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,24,-3.1408978,0.17307692307692307,0.9500191791331032,4.0,-0.1827037487926852,-0.05051101548187142,-0.1773170835285846,0.5980190204580116
8686948,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,25,-1.3783281,0.48095238095238096,0.95,4.0,-0.14633509146273166,-0.05251241768465531,-0.14284111684442558,0.47896583253959296
8692923,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,26,-2.110456,0.0496969696969697,0.950020202020202,4.0,-0.152742525993678,-0.052601830490181134,-0.14463565090662417,0.5195474056245655
9106476,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,27,-2.1795163,0.15670498084291187,0.9500954562810233,4.0,-0.1324524189352264,-0.05076565896409079,-0.1287374733752485,0.41680184822081756
9618981,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,28,-2.054616,0.06347517730496453,0.9499607843137254,4.0,-0.11737638580704565,-0.05064713143944849,-0.11602863126661232,0.3844288171514159
9961348,b2ec1d411eb923bb4a43c65e8c62744c24c06daa,1743188146,29,-3.188683,0.3514285714285714,0.9500256805341551,4.0,-0.15668491421035524,-0.05306090209145561,-0.15404286155249824,0.559581819547514
